word	category	rating	Phil_comments
Vorraum	lowA_lowS	bad	"very similar to ""Vorstadt"" and ""Vorplatz"""
Schweif	lowA_lowS		
Grabmal	lowA_lowS		
Vordach	lowA_lowS		
Einhorn	lowA_lowS		
Stachel	lowA_lowS		
Veranda	lowA_lowS		
Fontäne	lowA_lowS	bad	really low sound?
Schleim	lowA_lowS		
Libelle	lowA_lowS	bad	
Bildnis	lowA_lowS		
Pfeiler	lowA_lowS		
Schwein	lowA_highS	mid	action association?
Koralle	lowA_lowS		
Mahnmal	lowA_lowS		
Thymian	lowA_lowS		
Viadukt	lowA_lowS	bad	too unfamiliar?
Schlund	lowA_lowS		
Gebüsch	lowA_lowS		
Stausee	lowA_lowS	mid	really low sound?
Gefieder	lowA_lowS		
Vorstadt	lowA_lowS	bad	"very similar to ""Vorplatz"" and ""Vorraum"""
Hämatom	lowA_lowS	bad	too unfamiliar?
Piranha	lowA_lowS		
Schuppe	lowA_lowS		
Falter	lowA_lowS		
Phosphor	lowA_lowS	mid	too unfamiliar? Also material
Skorpion	lowA_lowS		
Giraffe	lowA_lowS		
Kastanie	lowA_lowS		
Zipfel	lowA_lowS		
Kuppel	lowA_lowS		
Marmor	lowA_lowS		
Tentakel	lowA_lowS		
Kristall	lowA_lowS		
Pollen	lowA_lowS		
Schleier	lowA_lowS		
Zapfen	lowA_lowS		
Lavendel	lowA_lowS		
Pavillon	lowA_lowS		
Vorhof	lowA_lowS		
Wölkchen	lowA_lowS		
Zisterne	lowA_lowS		
Schwefel	lowA_lowS		
Kiesel	lowA_lowS		
Kornfeld	lowA_lowS		
Seestern	lowA_lowS		
Schilf	lowA_lowS		
Quartier	lowA_lowS		
Korridor	lowA_lowS		
Diagramm	lowA_lowS		
Rebstock	lowA_lowS		
Krabbe	lowA_lowS		
Pappel	lowA_lowS		
Prärie	lowA_lowS		
Emblem	lowA_lowS		
Elektron	lowA_lowS		
Steinweg	lowA_lowS		
Lätzchen	lowA_lowS		
Sandbank	lowA_lowS		
Gehöft	lowA_lowS		
Vorplatz	lowA_lowS		
Abhang	lowA_lowS		
Flagge	lowA_lowS		
Sockel	lowA_lowS		
Krater	lowA_lowS		
Präparat	lowA_lowS	mid	quite abstract & really low action?
Hermelin	lowA_lowS		
Aquädukt	lowA_lowS	bad	too unfamiliar?
Morast	lowA_lowS	bad	too unfamiliar?
Torbogen	lowA_lowS		
Sensor	lowA_lowS		
Planet	lowA_lowS		
Schnecke	lowA_lowS		
ErdhŸgel	lowA_lowS		
Dromedar	lowA_lowS		
Graben	lowA_lowS		
Knospe	lowA_lowS		
Sphinx	lowA_lowS		
Bakterie	lowA_lowS	bad	"too similar to ""Baketerium"""
Natter	lowA_lowS		
Lagune	lowA_lowS		
Kruste	lowA_lowS		
Statue	lowA_lowS		
Heroin	lowA_lowS	bad	emotional valence
Talisman	lowA_lowS		
Mundstück	highA_highS	mid	really high sound?
Flocke	lowA_lowS		
Akazie	lowA_lowS		
Palast	lowA_lowS		
Barren	highA_lowS	mid	really high action?
Zitadelle	lowA_lowS		
Satellit	lowA_lowS		
Kleinbus	lowA_highS	mid	action association?
Bakterium	lowA_lowS		
Wacholder	lowA_lowS		
Papagei	lowA_highS		
Lastwagen	lowA_highS	mid	action association?
Gorilla	lowA_highS		
Truthahn	lowA_highS		
Auspuff	lowA_highS		
Tonband	lowA_highS		
Hamster	lowA_highS		
Flieger	lowA_highS		
Sperling	lowA_highS		
Kleinbus	lowA_highS		
Elefant	lowA_highS		
Kolibri	lowA_highS		
Schwein	lowA_highS		
WaschbŠr	lowA_highS		
Kuckuck	lowA_highS		
Brandung	lowA_highS		
Staudamm	lowA_highS		
DŸsenjet	lowA_highS		
Wachturm	lowA_highS		
Telegraf	lowA_highS		
Detektor	lowA_highS		
Saloon	lowA_highS		
Metronom	lowA_highS	mid	really low action?
Stadion	lowA_highS		
Jaguar	lowA_highS		
Marder	lowA_highS		
Grille	lowA_highS		
Ferkel	lowA_highS		
Kakadu	lowA_highS		
Piepser	lowA_highS	mid	really low action?
Flugzeug	lowA_highS		
Schwan	lowA_highS		
Sirene	lowA_highS		
BŸffel	lowA_highS		
Propeller	lowA_highS		
Aufzug	lowA_highS	mid	really low action?
Zirkus	lowA_highS		
Telegraph	lowA_highS		
Pavian	lowA_highS		
Flugplatz	lowA_highS		
Zaunkšnig	lowA_highS		
Triebwerk	lowA_highS		
Spatz	lowA_highS		
Biber	lowA_highS		
Henne	lowA_highS		
Stra§e	lowA_highS		
Lastwagen	lowA_highS		
Kršte	lowA_highS		
Meise	lowA_highS		
Flughafen	lowA_highS		
Frosch	lowA_highS		
Taube	lowA_highS		
Tiger	lowA_highS		
Stier	lowA_highS		
Rotor	lowA_highS		
Singvogel	lowA_highS		
Ziege	lowA_highS		
HyŠne	lowA_highS		
Wasserfall	lowA_highS		
KrŠhe	lowA_highS		
Feuersturm	lowA_highS		
Motor	lowA_highS		
Wasserwerk	lowA_highS		
Schimpanse	lowA_highS		
Kompressor	lowA_highS		
Helikopter	lowA_highS		
Tiergarten	lowA_highS		
Sporthalle	lowA_highS		
Schaf	lowA_highS		
KŸken	lowA_highS		
Nachtlokal	lowA_highS		
Vogel	lowA_highS		
Affe	lowA_highS		
Gala	lowA_highS		
Elch	lowA_highS		
Esel	lowA_highS		
Taxi	lowA_highS	mid	really low action?
Ente	lowA_highS		
Kondensator	lowA_highS		
Eule	lowA_highS		
Rotkehlchen	lowA_highS		
Park	lowA_highS		
Wald	lowA_highS		
Lšwe	lowA_highS		
Wolf	lowA_highS		
Uhu	lowA_highS		
FeuerstŠtte	lowA_highS		
Wal	lowA_highS		
Notarztwagen	lowA_highS		
Meer	lowA_highS		
Krankenwagen	lowA_highS		
Luftfahrzeug	lowA_highS		
BŠr	lowA_highS		
Hubschrauber	lowA_highS		
Schauspieler	lowA_highS	bad	human role
Wellensittich	lowA_highS		
Zahnrad	highA_lowS		
Zigarre	highA_lowS		
Joghurt	highA_lowS		
Schminke	highA_lowS		
Bargeld	highA_lowS		
Zwiebel	highA_lowS		
Diskette	highA_lowS		
Saatgut	highA_lowS		
Kandare	highA_lowS		
Zutaten	highA_lowS		
Sticker	highA_lowS		
Schrank	highA_lowS		
Skalpell	highA_lowS		
Armband	highA_lowS		
Schleppe	highA_lowS		
PerŸcke	highA_lowS		
Schlaufe	highA_lowS		
Krawatte	highA_lowS		
Prothese	highA_lowS		
Bumerang	highA_lowS		
Umschlag	highA_lowS		
Ausweis	highA_lowS		
Puzzle	highA_lowS		
Tupfer	highA_lowS		
Kordel	highA_lowS		
Sattel	highA_lowS		
Stativ	highA_lowS		
Ranzen	highA_lowS		
Locher	highA_lowS		
Hefter	highA_lowS		
KrŸcke	highA_lowS		
Bikini	highA_lowS		
Riemen	highA_lowS		
Krokette	highA_lowS		
Lineal	highA_lowS		
Textilie	highA_lowS		
Himbeere	highA_lowS		
Skizze	highA_lowS		
Wickel	highA_lowS		
Kuvert	highA_lowS		
Butter	highA_lowS		
Einrad	highA_lowS		
Feuerholz	highA_lowS		
Paddel	highA_lowS		
Spaten	highA_lowS		
Geschirr	highA_lowS	mid	really low sound?
Teigware	highA_lowS		
Spaghetti	highA_lowS		
WŸrfel	highA_lowS		
Stange	highA_lowS		
Koffer	highA_lowS		
Knauf	highA_lowS		
BŸrste	highA_lowS		
Schlitten	highA_lowS		
Hosenbund	highA_lowS		
Zettel	highA_lowS		
Zahnpaste	highA_lowS		
Strick	highA_lowS		
Serviette	highA_lowS		
Kleidung	highA_lowS		
Stichsäge	highA_lowS	mid	really low sound?
Lanze	highA_lowS		
Sohle	highA_lowS		
Gurke	highA_lowS		
ZŸgel	highA_lowS		
Bleistift	highA_lowS		
Filet	highA_lowS		
Tabak	highA_lowS		
Klebstoff	highA_lowS		
Schuhwerk	highA_lowS		
Knetmasse	highA_lowS		
Feile	highA_lowS	mid	really low sound?
Regal	highA_lowS		
Badeanzug	highA_lowS		
Degen	highA_lowS		
Matte	highA_lowS		
Kelle	highA_lowS		
Pinsel	highA_lowS		
Waage	highA_lowS		
Schrubber	highA_lowS		
Kappe	highA_lowS		
Gerte	highA_lowS		
Paste	highA_lowS	mid	ambiguous
Mappe	highA_lowS		
Tandem	highA_lowS		
Magnet	highA_lowS		
Pflug	highA_lowS		
Scheck	highA_lowS		
Dolch	highA_lowS		
Hacke	highA_lowS		
Mango	highA_lowS		
Schal	highA_lowS		
Bindfaden	highA_lowS		
Paket	highA_lowS		
Haken	highA_lowS		
Wiege	highA_lowS		
Traktor	highA_highS	mid	"if ""Taxi"", ""Flugzeug"", etc. are low-action, then why is this high-action?"
Konsole	highA_highS		
Trommel	highA_highS		
Drucker	highA_highS		
Wischer	highA_highS		
Seilzug	highA_highS		
Dynamit	highA_highS		
Stapler	highA_highS		
Gitarre	highA_highS		
Klšppel	highA_highS		
Roboter	highA_highS		
Baseball	highA_highS	mid	really high sound?
Posaune	highA_highS		
Pistole	highA_highS		
Blinker	highA_highS		
Alphorn	highA_highS		
Schaukel	highA_highS		
Triangel	highA_highS		
Bagger	highA_highS		
Roller	highA_highS		
Peitsche	highA_highS		
Flinte	highA_highS		
Saxophon	highA_highS		
Motorrad	highA_highS		
Hammer	highA_highS		
Tastatur	highA_highS		
Telefon	highA_highS		
Revolver	highA_highS		
Zapfhahn	highA_highS		
Tamburin	highA_highS		
Schalter	highA_highS		
Klavier	highA_highS		
Knebel	highA_highS	mid	really high sound?
GeschŸtz	highA_highS		
Trompete	highA_highS		
Computer	highA_highS		
Keyboard	highA_highS		
Dusche	highA_highS		
Bohrer	highA_highS		
Knarre	highA_highS		
Werkzeug	highA_highS		
Karussell	highA_highS		
Kanone	highA_highS		
Truck	highA_highS	mid	really high action?
Walze	highA_highS		
Bšller	highA_highS		
Xylophon	highA_highS		
Rakete	highA_highS		
Harfe	highA_highS		
Blech	highA_highS		
Blasebalg	highA_highS		
HebebŸhne	highA_highS		
Saite	highA_highS		
Moped	highA_highS		
Klaviatur	highA_highS		
Akkordeon	highA_highS		
