word	category
Lavendel	lowA_lowS
Sphinx	lowA_lowS
Korridor	lowA_lowS
Vordach	lowA_lowS
Zisterne	lowA_lowS
Pollen	lowA_lowS
Krabbe	lowA_lowS
Torbogen	lowA_lowS
Veranda	lowA_lowS
Farbstoff	lowA_lowS
Zitadelle	lowA_lowS
Schuppe	lowA_lowS
Pfeiler	lowA_lowS
Kruste	lowA_lowS
Kuppel	lowA_lowS
Mumie	lowA_lowS
Phosphor	lowA_lowS
Erdhügel	lowA_lowS
Einhorn	lowA_lowS
Gletscher	lowA_lowS
Lagune	lowA_lowS
Dunst	lowA_lowS
Knospe	lowA_lowS
Emblem	lowA_lowS
Marmor	lowA_lowS
Koralle	lowA_lowS
Nelke	lowA_lowS
Bakterium	lowA_lowS
Schleim	lowA_lowS
Fleck	lowA_lowS
Skorpion	lowA_lowS
Vorstadt	lowA_lowS
Fassade	lowA_lowS
Gruft	lowA_lowS
Asche	lowA_lowS
Sonnentau	lowA_lowS
Grabmal	lowA_lowS
Gestein	lowA_lowS
Flecken	lowA_lowS
Lilie	lowA_lowS
Präparat	lowA_lowS
Schlund	lowA_lowS
Sumpfland	lowA_lowS
Viadukt	lowA_lowS
Bildnis	lowA_lowS
Mausoleum	lowA_lowS
Hornhaut	lowA_lowS
Seestern	lowA_lowS
Säule	lowA_lowS
Falter	lowA_lowS
Auster	lowA_lowS
Zapfen	lowA_lowS
Wacholder	lowA_lowS
Heroin	lowA_lowS
Stausee	lowA_lowS
Pavillon	lowA_lowS
Tentakel	lowA_lowS
Makrele	lowA_lowS
Kalkstein	lowA_lowS
Mahnmal	lowA_lowS
Abhang	lowA_lowS
Zipfel	lowA_lowS
Strauch	lowA_lowS
Portrait	lowA_lowS
Fichte	lowA_lowS
Sandbank	lowA_lowS
Krater	lowA_lowS
Stachel	lowA_lowS
Sockel	lowA_lowS
Reliquie	lowA_lowS
Sandstein	lowA_lowS
Fontäne	lowA_lowS
Papagei	lowA_highS
Kuckuck	lowA_highS
Specht	lowA_highS
Tornado	lowA_highS
Hummel	lowA_highS
Schwalbe	lowA_highS
Sirene	lowA_highS
Ferkel	lowA_highS
Drossel	lowA_highS
Elefant	lowA_highS
Tonband	lowA_highS
Jaguar	lowA_highS
Sperling	lowA_highS
Brandung	lowA_highS
Krähe	lowA_highS
Henne	lowA_highS
Geläut	lowA_highS
Flieger	lowA_highS
Schwein	lowA_highS
Kakadu	lowA_highS
Auspuff	lowA_highS
Amsel	lowA_highS
Schwan	lowA_highS
Flugplatz	lowA_highS
Zaunkönig	lowA_highS
Nachtigall	lowA_highS
Affe	lowA_highS
Piepser	lowA_highS
Elch	lowA_highS
Eule	lowA_highS
Tiger	lowA_highS
Rabe	lowA_highS
Taube	lowA_highS
Saloon	lowA_highS
Düsenjet	lowA_highS
Turbine	lowA_highS
Grille	lowA_highS
Ente	lowA_highS
Metronom	lowA_highS
Kompressor	lowA_highS
Wachturm	lowA_highS
Aula	lowA_highS
Wasserfall	lowA_highS
Uhu	lowA_highS
Schimpanse	lowA_highS
Stadion	lowA_highS
Spatz	lowA_highS
Gondel	lowA_highS
Vogel	lowA_highS
Esel	lowA_highS
Singvogel	lowA_highS
Möwe	lowA_highS
Kolibri	lowA_highS
Stier	lowA_highS
Zirkus	lowA_highS
Hyäne	lowA_highS
Frosch	lowA_highS
Kapelle	lowA_highS
Triebwerk	lowA_highS
Gala	lowA_highS
Kröte	lowA_highS
Bach	lowA_highS
Propeller	lowA_highS
Rotkehlchen	lowA_highS
Transistor	lowA_highS
Kondensator	lowA_highS
Sporthalle	lowA_highS
Helikopter	lowA_highS
Motor	lowA_highS
Theater	lowA_highS
Gorilla	lowA_highS
Pavian	lowA_highS
Tablett	highA_lowS
Besteck	highA_lowS
Korsett	highA_lowS
Kommode	highA_lowS
Kürbis	highA_lowS
Riemen	highA_lowS
Stiefel	highA_lowS
Strick	highA_lowS
Stativ	highA_lowS
Sticker	highA_lowS
Puzzle	highA_lowS
Strumpf	highA_lowS
Kleber	highA_lowS
Shampoo	highA_lowS
Prothese	highA_lowS
Schlinge	highA_lowS
Fessel	highA_lowS
Wickel	highA_lowS
Lineal	highA_lowS
Ranzen	highA_lowS
Brosche	highA_lowS
Karaffe	highA_lowS
Matratze	highA_lowS
Oberteil	highA_lowS
Krawatte	highA_lowS
Hufeisen	highA_lowS
Ohrring	highA_lowS
Armband	highA_lowS
Pinzette	highA_lowS
Skalpell	highA_lowS
Pullover	highA_lowS
Pinsel	highA_lowS
Umhang	highA_lowS
Pipette	highA_lowS
Teppich	highA_lowS
Karton	highA_lowS
Schnur	highA_lowS
Vitrine	highA_lowS
Diskette	highA_lowS
Schürze	highA_lowS
Kordel	highA_lowS
Kissen	highA_lowS
Schraube	highA_lowS
Beutel	highA_lowS
Degen	highA_lowS
Kappe	highA_lowS
Zange	highA_lowS
Bluse	highA_lowS
Kuvert	highA_lowS
Bandage	highA_lowS
Jackett	highA_lowS
Gürtel	highA_lowS
Saatgut	highA_lowS
Geschirr	highA_lowS
Sohle	highA_lowS
Paste	highA_lowS
Schlaufe	highA_lowS
Klebstoff	highA_lowS
Gestell	highA_lowS
Stange	highA_lowS
Bettdecke	highA_lowS
Umschlag	highA_lowS
Sattel	highA_lowS
Locher	highA_lowS
Lanze	highA_lowS
Deckel	highA_lowS
Shirt	highA_lowS
Bügel	highA_lowS
Geländer	highA_lowS
Barren	highA_lowS
Hefter	highA_lowS
Sandale	highA_lowS
Traktor	highA_highS
Trommel	highA_highS
Schläger	highA_highS
Peitsche	highA_highS
Bagger	highA_highS
Gitarre	highA_highS
Klöppel	highA_highS
Motorrad	highA_highS
Tastatur	highA_highS
Hammer	highA_highS
Klaviatur	highA_highS
Saite	highA_highS
Tamburin	highA_highS
Motorsäge	highA_highS
Säge	highA_highS
Mixer	highA_highS
Schleifer	highA_highS
Taktstock	highA_highS
Triangel	highA_highS
Knarre	highA_highS
Schaukel	highA_highS
Blasebalg	highA_highS
Pfeife	highA_highS
Spielzeug	highA_highS
Akkordeon	highA_highS
Seilzug	highA_highS
