word	category
Tunnel	lowA_lowS
Kristall	lowA_lowS
Knolle	lowA_lowS
Diagramm	lowA_lowS
Kajüte	lowA_lowS
Schwefel	lowA_lowS
Marmor	lowA_lowS
Korridor	lowA_lowS
Stachel	lowA_lowS
Staude	lowA_lowS
Planet	lowA_lowS
Gehöft	lowA_lowS
Pavillon	lowA_lowS
Giraffe	lowA_lowS
Seestern	lowA_lowS
Kiesel	lowA_lowS
Schnecke	lowA_lowS
Grabmal	lowA_lowS
Dromedar	lowA_lowS
Akazie	lowA_lowS
Eidechse	lowA_lowS
Vorhof	lowA_lowS
Schilf	lowA_lowS
Sockel	lowA_lowS
Vordach	lowA_lowS
Falter	lowA_lowS
Schlamm	lowA_lowS
Zisterne	lowA_lowS
Skorpion	lowA_lowS
Kastanie	lowA_lowS
Fenchel	lowA_lowS
Einhorn	lowA_lowS
Tentakel	lowA_lowS
Krater	lowA_lowS
Quartier	lowA_lowS
Piranha	lowA_lowS
Zipfel	lowA_lowS
Schleim	lowA_lowS
Mahnmal	lowA_lowS
Abhang	lowA_lowS
Zement	lowA_lowS
Ziegel	lowA_lowS
Elefant	lowA_highS
Park	lowA_highS
Specht	lowA_highS
Tonband	lowA_highS
Rotor	lowA_highS
Möwe	lowA_highS
Krähe	lowA_highS
Meise	lowA_highS
Feuersturm	lowA_highS
Ente	lowA_highS
Flieger	lowA_highS
Fluss	lowA_highS
Triebwerk	lowA_highS
Getriebe	lowA_highS
Kakadu	lowA_highS
Frosch	lowA_highS
Hummel	lowA_highS
Nachtlokal	lowA_highS
Motor	lowA_highS
Dohle	lowA_highS
Lüftung	lowA_highS
Theater	lowA_highS
Hyäne	lowA_highS
Wasserwerk	lowA_highS
Kröte	lowA_highS
Stadion	lowA_highS
Gondel	lowA_highS
Sirene	lowA_highS
Papagei	lowA_highS
Turbine	lowA_highS
Rabe	lowA_highS
Schwan	lowA_highS
Tiergarten	lowA_highS
Panda	lowA_highS
Amsel	lowA_highS
Flugzeug	lowA_highS
Tornado	lowA_highS
Kapelle	lowA_highS
Geläut	lowA_highS
Auspuff	lowA_highS
Affe	lowA_highS
Schaf	lowA_highS
Banane	highA_lowS
Mango	highA_lowS
Knopf	highA_lowS
Krokette	highA_lowS
Himbeere	highA_lowS
Zahnspange	highA_lowS
Anker	highA_lowS
Mikroskop	highA_lowS
Kordel	highA_lowS
Schemel	highA_lowS
Sattel	highA_lowS
Strumpf	highA_lowS
Joghurt	highA_lowS
Saatgut	highA_lowS
Tabak	highA_lowS
Zeichnung	highA_lowS
Brot	highA_lowS
Kartoffel	highA_lowS
Korsett	highA_lowS
Knauf	highA_lowS
Stativ	highA_lowS
Wickel	highA_lowS
Prothese	highA_lowS
Scheck	highA_lowS
Matte	highA_lowS
Sichel	highA_lowS
Ranzen	highA_lowS
Schrubber	highA_lowS
Karabiner	highA_lowS
Lineal	highA_lowS
Folie	highA_lowS
Rollstuhl	highA_lowS
Wiege	highA_lowS
Leiter	highA_lowS
Zwiebel	highA_lowS
Lasche	highA_lowS
Futter	highA_lowS
Mappe	highA_lowS
Degen	highA_lowS
Waage	highA_lowS
Textilie	highA_lowS
Angel	highA_lowS
Schlagzeug	highA_highS
Trommel	highA_highS
Klöppel	highA_highS
Blasebalg	highA_highS
Mäher	highA_highS
Blockflöte	highA_highS
Mörser	highA_highS
Fagott	highA_highS
Posaune	highA_highS
Lasso	highA_highS
Klaviatur	highA_highS
Pfeife	highA_highS
Mofa	highA_highS
Trampolin	highA_highS
Flinte	highA_highS
Saxophon	highA_highS
Xylophon	highA_highS
Keyboard	highA_highS
Festwagen	highA_highS
Dampfwalze	highA_highS
Rakete	highA_highS
Kontrabass	highA_highS
Seilzug	highA_highS
Karussell	highA_highS
Baby	highA_highS
Motorrad	highA_highS
Walze	highA_highS
Schlagwerk	highA_highS
Harfe	highA_highS
Beil	highA_highS
Pistole	highA_highS
Klavier	highA_highS
Säugling	highA_highS
Schleifer	highA_highS
Hupe	highA_highS
Geige	highA_highS
Rassel	highA_highS
Bohrer	highA_highS
Flöte	highA_highS
Cello	highA_highS
Schaukel	highA_highS
Rekorder	highA_highS
